dataset,method,variant,campaign_id,protocol_fingerprint,binary_sha256,run_id,run_kind,trace,measurement_mode,threads,query_contexts,coroutines,top_k,metric,ef,m,efc,query_suffix,lavd,index_region_bytes,lavd_region_bytes,env,recall,qps,p50_us,p95_us,p99_us,posts_per_q,bytes_per_q,processed,expected_queries,failed_queries,trace_csv,json,stderr,status
TEXT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,0a5541d2f8cdee4dc1b66f2ba8f282fa4b23efd84216b6b44ee3f892081b75f2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,100,16,100,u10k,0,17179869184,0,none,0.79974,1685,11673.565,16581.703,20734.634000000002,1843.7564,1435282.65,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef100.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef100.err,ok
TEXT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,4b5914d8fa755785c1fee8a82d74f836f105ddbb4d9e88723b8b3ea1ad098791,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,100,16,100,u10k,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.72041,14163,1320.355,1825.82,2399.775,111.6711,508036.3456,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef100.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef100.err,ok
TEXT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,e75060163ca2f4f9806d10a3d3ba00c90e415f055f897cf5a2e9c82e44406713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,150,16,100,u10k,0,17179869184,0,none,0.84374,1235,16042.525,22305.295000000002,27823.995,2504.6338,1946377.526,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef150.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef150.err,ok
TEXT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,3099935b11673e1d4837ebc037034e8660fec62f55527d8c57e294aa397f8f5d,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,150,16,100,u10k,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.76473,9926,1916.034,2546.301,3347.225,162.7328,741189.1688,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef150.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef150.err,ok
TEXT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,08fb25f59be7a20d9db927a0fcba94cdcb81c4840976b91b18b33a0c15106c14,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,200,16,100,u10k,0,17179869184,0,none,0.87107,996,19944.850000000002,27734.8,34086.531,3136.8976,2434050.9796,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef200.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef200.err,ok
TEXT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,fba860a55f7a8d56a85712de185eaa179b5e63c43d4f461387a1d91babf9429e,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,200,16,100,u10k,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.79052,7691,2495.46,3199.823,4226.416,213.3826,972361.6272,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef200.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef200.err,ok
TEXT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,ce78d1fcd910f0898a71e862608da8fda9d92296ac8419fafe756663bffed702,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,300,16,100,u10k,0,17179869184,0,none,0.9049,713,27929.497,38955.732,46649.37,4343.1042,3361776.2588,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef300.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef300.err,ok
TEXT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,f09b77e90f25b28d7e156ac0fda3615dd6db6ca79e6a7a9e505dc18074e190ed,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,300,16,100,u10k,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.82384,5249,3686.719,4541.925,6217.477,315.1871,1435762.2224,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef300.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef300.err,ok
TEXT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,e95fa1606de1e40d04ddbadb50080b88b509895c491ac7a32d576699f119c09c,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,500,16,100,u10k,0,17179869184,0,none,0.93526,468,42636.339,59918.770000000004,68871.725,6588.4751,5081895.302,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef500.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_shine_path_r1_measure_T10_ef500.err,ok
TEXT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,df218532a94392174aedb703571453ed181348d230df96171f7024d16211d345,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r1,measure,0,fixed_query_pool,10,10,2,10,ip,500,16,100,u10k,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.85669,3231,6033.305,7161.941,9480.863,518.1106,2357887.9008,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef500.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r1/TEXT10M_slabwalk_expansion_r1_measure_T10_ef500.err,ok
